,Orders
2022-10-23,1133.0
2022-10-24,913.0
2022-10-25,1041.0
2022-10-26,986.0
2022-10-27,945.0
2022-10-28,1139.0
2022-10-29,1164.0
2022-10-30,1251.0
2022-10-31,899.0
2022-11-01,1074.0
2022-11-02,1091.0
2022-11-03,1071.0
2022-11-04,1327.0
2022-11-05,1297.0
2022-11-06,1223.0
2022-11-07,986.0
2022-11-08,874.0
2022-11-09,899.0
2022-11-10,1021.0
2022-11-11,1106.0
2022-11-12,1102.0
2022-11-13,1237.0
2022-11-14,985.0
2022-11-15,839.0
2022-11-16,968.0
2022-11-17,841.0
2022-11-18,1045.0
2022-11-19,1005.0
2022-11-20,1045.0
2022-11-21,931.0
2022-11-22,794.0
2022-11-23,903.0
2022-11-24,905.0
2022-11-25,1000.0
2022-11-26,1085.0
2022-11-27,947.0
2022-11-28,1027.0
2022-11-29,810.0
2022-11-30,485.0
2022-12-01,849.0
2022-12-02,915.0
2022-12-03,969.0
2022-12-04,1154.0
2022-12-05,806.0
2022-12-06,844.0
2022-12-07,814.0
2022-12-08,933.0
2022-12-09,911.0
2022-12-10,1059.0
2022-12-11,1097.0
2022-12-12,881.0
2022-12-13,937.0
2022-12-14,915.0
2022-12-15,942.0
2022-12-16,1001.0
2022-12-17,1048.0
2022-12-18,1098.0
2022-12-19,1078.0
2022-12-20,916.0
2022-12-21,1008.0
2022-12-22,961.0
2022-12-23,1185.0
2022-12-24,1217.0
2022-12-25,1356.0
2022-12-26,1150.0
2022-12-27,1024.0
2022-12-28,1262.0
2022-12-29,1299.0
2022-12-30,1310.0
2022-12-31,715.0
2023-01-01,622.0
2023-01-02,1192.0
2023-01-03,1282.0
2023-01-04,1202.0
2023-01-05,1495.0
2023-01-06,1414.0
2023-01-07,1586.0
2023-01-08,1541.0
2023-01-09,1292.0
2023-01-10,1021.0
2023-01-11,1190.0
2023-01-12,1025.0
2023-01-13,1095.0
2023-01-14,1128.0
2023-01-15,1248.0
2023-01-16,903.0
2023-01-17,894.0
2023-01-18,905.0
2023-01-19,942.0
2023-01-20,940.0
2023-01-21,862.0
2023-01-22,1014.0
2023-01-23,916.0
2023-01-24,769.0
2023-01-25,921.0
2023-01-26,868.0
2023-01-27,992.0
2023-01-28,919.0
2023-01-29,1115.0
2023-01-30,947.0
2023-01-31,851.0
2023-02-01,859.0
2023-02-02,918.0
2023-02-03,1007.0
2023-02-04,1087.0
2023-02-05,1146.0
2023-02-06,866.0
2023-02-07,954.0
2023-02-08,916.0
2023-02-09,1058.0
2023-02-10,1111.0
2023-02-11,1203.0
2023-02-12,1130.0
2023-02-13,1035.0
2023-02-14,833.0
2023-02-15,1010.0
2023-02-16,1072.0
2023-02-17,1256.0
2023-02-18,1209.0
2023-02-19,1270.0
2023-02-20,1085.0
2023-02-21,1027.0
2023-02-22,1093.0
2023-02-23,1247.0
2023-02-24,1178.0
2023-02-25,1335.0
2023-02-26,1259.0
2023-02-27,1178.0
2023-02-28,941.0
2023-03-01,969.0
2023-03-02,992.0
2023-03-03,1079.0
2023-03-04,1032.0
2023-03-05,1201.0
2023-03-06,948.0
2023-03-07,925.0
2023-03-08,1043.0
2023-03-09,923.0
2023-03-10,989.0
2023-03-11,1110.0
2023-03-12,1240.0
2023-03-13,1102.0
2023-03-14,991.0
2023-03-15,1089.0
2023-03-16,1069.0
2023-03-17,1189.0
2023-03-18,1121.0
2023-03-19,1280.0
2023-03-20,1207.0
2023-03-21,1188.0
2023-03-22,1065.0
2023-03-23,1275.0
2023-03-24,1289.0
2023-03-25,1519.0
2023-03-26,1422.0
2023-03-27,1327.0
2023-03-28,1247.0
2023-03-29,1520.0
2023-03-30,1398.0
2023-03-31,1480.0
2023-04-01,1411.0
2023-04-02,1533.0
2023-04-03,1121.0
2023-04-04,1163.0
2023-04-05,1267.0
2023-04-06,1101.0
2023-04-07,1214.0
2023-04-08,1224.0
2023-04-09,1469.0
2023-04-10,1239.0
2023-04-11,1234.0
2023-04-12,1194.0
2023-04-13,1208.0
2023-04-14,1394.0
2023-04-15,1539.0
2023-04-16,1361.0
2023-04-17,1332.0
2023-04-18,1110.0
2023-04-19,1249.0
2023-04-20,1193.0
2023-04-21,1449.0
2023-04-22,1362.0
2023-04-23,1426.0
2023-04-24,1205.0
2023-04-25,1330.0
2023-04-26,1244.0
2023-04-27,1342.0
2023-04-28,1407.0
2023-04-29,1517.0
2023-04-30,1542.0
2023-05-01,1589.0
2023-05-02,1242.0
2023-05-03,1263.0
2023-05-04,1220.0
2023-05-05,1476.0
2023-05-06,1593.0
2023-05-07,1606.0
2023-05-08,1516.0
2023-05-09,1648.0
2023-05-10,1222.0
2023-05-11,1241.0
2023-05-12,1397.0
2023-05-13,1500.0
2023-05-14,1582.0
2023-05-15,1492.0
2023-05-16,1239.0
2023-05-17,1530.0
2023-05-18,1478.0
2023-05-19,1628.0
2023-05-20,1566.0
2023-05-21,1579.0
2023-05-22,1447.0
2023-05-23,1527.0
2023-05-24,1445.0
2023-05-25,1523.0
2023-05-26,1657.0
2023-05-27,1826.0
2023-05-28,1723.0
2023-05-29,1747.0
2023-05-30,1709.0
2023-05-31,1691.0
2023-06-01,1672.0
2023-06-02,1664.0
2023-06-03,1704.0
2023-06-04,1693.0
2023-06-05,1551.0
2023-06-06,1575.0
2023-06-07,1764.0
2023-06-08,1760.0
2023-06-09,1988.0
2023-06-10,1982.0
2023-06-11,2012.0
2023-06-12,1912.0
2023-06-13,1592.0
2023-06-14,1833.0
2023-06-15,2016.0
2023-06-16,1881.0
2023-06-17,2044.0
2023-06-18,2009.0
2023-06-19,1906.0
2023-06-20,1966.0
2023-06-21,1808.0
2023-06-22,1939.0
2023-06-23,1905.0
2023-06-24,1988.0
2023-06-25,1959.0
2023-06-26,1892.0
2023-06-27,1493.0
2023-06-28,1861.0
2023-06-29,1856.0
2023-06-30,1852.0
2023-07-01,1881.0
2023-07-02,1928.0
2023-07-03,1873.0
2023-07-04,1916.0
2023-07-05,998.0
2023-07-06,1648.0
2023-07-07,1727.0
2023-07-08,2268.0
2023-07-09,2056.0
2023-07-10,1733.0
2023-07-11,1704.0
2023-07-12,1829.0
2023-07-13,2070.0
2023-07-14,2214.0
2023-07-15,2174.0
2023-07-16,1791.0
2023-07-17,1900.0
2023-07-18,2128.0
2023-07-19,2012.0
2023-07-20,1925.0
2023-07-21,1532.0
2023-07-22,1743.0
2023-07-23,2152.0
2023-07-24,1823.0
2023-07-25,2078.0
2023-07-26,1970.0
2023-07-27,2060.0
2023-07-28,2051.0
2023-07-29,1488.0
2023-07-30,2196.0
2023-07-31,2088.0
